id_estudiante,edad,genero,semestre,programa,modalidad,trabaja,estrato,subsidio,E1,E2,E3,E4,E5,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,H1,H2,H3,H4,H5,D1,D2,D3,D4,D5,S1,S2,S3,S4,S5,AP1,AP2,AP3,AP4,AP5,B1
74,19,Masculino,1,Artes Plásticas,Virtual,No,2,No,4,3,4,2,2,3,3,3,2,4,3,2,4,4,3,3,3,2,3,1,4,2,4,3,3,2,2,4,1,4,3,2,2,4,3,5
75,21,Femenino,2,Derecho,Virtual,No,1,Sí,4,4,4,3,2,4,3,3,3,5,3,2,3,4,5,3,2,4,3,2,3,4,3,3,4,2,4,3,5,3,3,2,4,3,3,6
76,21,Femenino,3,Música,Virtual,No,2,No,5,3,5,4,5,4,4,5,4,4,5,4,3,5,4,4,4,4,4,4,5,4,5,4,4,4,4,4,5,4,4,4,4,5,5,1
77,18,Femenino,2,Artes Plásticas,Presencial,No,2,Sí,2,2,2,3,2,2,2,4,3,1,2,3,4,3,3,1,3,3,3,3,2,3,3,3,3,2,3,3,2,3,3,3,3,3,3,5
78,17,Femenino,1,Medicina,Híbrida,No,1,No,3,2,3,2,2,2,2,2,3,3,1,1,2,2,3,2,2,3,2,3,3,3,3,3,3,2,3,1,3,3,3,2,2,2,3,5
79,23,Masculino,5,Psicología,Presencial,No,1,Sí,4,3,4,4,4,4,3,4,3,4,5,5,5,4,5,4,4,4,5,5,5,4,4,3,4,4,3,4,2,3,5,5,5,4,4,4
80,23,Otro,10,Medicina,Virtual,Sí,4,No,2,3,5,2,2,4,4,3,2,4,4,4,3,3,3,3,4,3,2,4,3,3,4,2,3,2,2,3,5,2,3,4,3,3,2,6
81,19,Femenino,5,Ingeniería,Presencial,No,3,No,4,5,4,5,3,3,4,3,3,3,3,4,2,3,5,3,3,2,3,3,2,4,4,3,4,5,4,4,3,4,3,3,4,3,3,4
82,22,Femenino,6,Danza,Presencial,Sí,4,No,3,3,2,4,3,2,2,2,2,4,2,2,4,3,3,3,1,3,2,3,3,2,3,2,3,3,3,2,3,2,4,3,2,2,3,7
83,18,Masculino,1,Administración,Virtual,No,2,Sí,3,3,3,3,3,4,4,3,3,3,3,4,4,4,3,3,4,2,4,2,4,4,3,3,4,4,3,2,3,2,4,3,3,4,3,6
84,19,Femenino,6,Derecho,Virtual,No,1,No,2,1,1,1,3,2,3,1,2,2,2,1,3,3,2,2,1,1,3,1,2,2,3,3,1,2,2,2,2,1,2,3,3,2,2,7
85,20,Femenino,1,Licenciatura,Virtual,No,2,Sí,1,3,1,2,1,3,3,2,2,3,3,2,2,3,1,3,2,2,3,2,3,3,2,3,2,2,1,2,1,1,1,3,4,2,3,8
86,19,Femenino,8,Psicología,Presencial,No,4,No,2,1,2,2,2,3,2,2,1,1,1,3,1,2,1,2,1,3,2,3,3,2,1,2,1,2,2,2,2,2,2,2,2,3,2,8
87,17,Femenino,2,Psicología,Híbrida,Sí,5,No,5,5,4,5,5,4,5,4,3,4,4,5,4,5,5,4,5,4,3,2,3,2,4,3,3,4,3,4,4,3,4,4,3,4,3,4
88,19,Otro,4,Psicología,Presencial,Sí,4,No,4,5,5,5,5,4,4,4,4,5,4,5,5,5,5,4,3,4,3,4,5,4,4,3,2,4,4,5,4,4,5,5,4,5,4,3
89,22,Femenino,7,Música,Presencial,No,4,No,4,5,3,5,4,3,4,5,4,3,4,4,5,5,4,5,4,4,3,4,4,5,5,3,4,5,5,5,5,4,4,5,3,4,4,3
90,21,Femenino,4,Medicina,Híbrida,No,5,No,4,3,4,4,5,3,4,4,2,4,5,5,4,4,4,3,4,3,3,5,5,3,4,3,3,4,4,3,4,4,5,4,5,2,4,2
91,21,Femenino,8,Música,Virtual,Sí,1,Sí,2,1,2,3,2,2,2,2,2,2,2,1,3,2,1,1,1,2,2,3,2,2,2,2,3,2,2,1,3,1,1,2,3,2,2,8
92,20,Masculino,3,Medicina,Híbrida,No,2,Sí,4,4,3,3,2,3,4,4,4,4,3,4,4,2,4,4,3,4,5,3,4,3,4,3,4,3,4,5,4,4,4,4,4,3,4,3
93,21,Masculino,9,Medicina,Presencial,No,3,Sí,3,3,4,5,4,4,4,3,3,4,4,5,3,3,4,4,2,5,3,4,3,3,3,3,4,4,4,3,4,5,5,4,4,5,4,4
94,18,Masculino,5,Derecho,Híbrida,Sí,2,Sí,2,1,1,2,2,3,2,3,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,2,1,2,9
95,19,Masculino,3,Artes Plásticas,Híbrida,No,1,Sí,4,3,4,4,4,4,4,5,5,5,5,5,4,3,4,4,4,5,5,4,3,5,5,4,5,4,4,4,5,3,4,5,5,4,5,3
96,17,Masculino,3,Artes Plásticas,Híbrida,No,1,Sí,2,3,4,3,3,4,4,3,3,4,3,3,2,3,3,3,2,3,2,3,2,3,4,2,3,2,3,3,2,3,2,4,4,3,3,6
